GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HC01_EST_VC10,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",9762751
HC01_MOE_VC10,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",48293
HC02_EST_VC10,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",38.8
HC02_MOE_VC10,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",0.1
HC03_EST_VC10,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",61.2
HC03_MOE_VC10,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",0.1
HC04_EST_VC10,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",50175
HC04_MOE_VC10,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",67
HC05_EST_VC10,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",58223
HC05_MOE_VC10,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",181
HC06_EST_VC10,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",46137
HC06_MOE_VC10,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:",81
HC01_EST_VC11,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",1771522
HC01_MOE_VC11,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",11231
HC02_EST_VC11,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",38.8
HC02_MOE_VC11,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",0.3
HC03_EST_VC11,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",61.2
HC03_MOE_VC11,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",0.3
HC04_EST_VC11,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",42846
HC04_MOE_VC11,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",114
HC05_EST_VC11,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",44417
HC05_MOE_VC11,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",211
HC06_EST_VC11,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",42036
HC06_MOE_VC11,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations",106
HC01_EST_VC12,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",1363423
HC01_MOE_VC12,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",10052
HC02_EST_VC12,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",51.2
HC02_MOE_VC12,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",0.3
HC03_EST_VC12,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",48.8
HC03_MOE_VC12,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",0.3
HC04_EST_VC12,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",85163
