GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD100,Margin of Error; Total: - Medical scientists
HD01_VD101,"Estimate; Total: - Life scientists, all other"
HD02_VD101,"Margin of Error; Total: - Life scientists, all other"
HD01_VD102,Estimate; Total: - Astronomers and physicists
HD02_VD102,Margin of Error; Total: - Astronomers and physicists
HD01_VD103,Estimate; Total: - Atmospheric and space scientists
HD02_VD103,Margin of Error; Total: - Atmospheric and space scientists
HD01_VD104,Estimate; Total: - Chemists and materials scientists
HD02_VD104,Margin of Error; Total: - Chemists and materials scientists
HD01_VD105,Estimate; Total: - Environmental scientists and geoscientists
HD02_VD105,Margin of Error; Total: - Environmental scientists and geoscientists
HD01_VD106,"Estimate; Total: - Physical scientists, all other"
HD02_VD106,"Margin of Error; Total: - Physical scientists, all other"
HD01_VD107,Estimate; Total: - Economists
HD02_VD107,Margin of Error; Total: - Economists
HD01_VD108,Estimate; Total: - Survey researchers
HD02_VD108,Margin of Error; Total: - Survey researchers
HD01_VD109,Estimate; Total: - Psychologists
HD02_VD109,Margin of Error; Total: - Psychologists
HD01_VD110,Estimate; Total: - Urban and regional planners
HD02_VD110,Margin of Error; Total: - Urban and regional planners
HD01_VD111,"Estimate; Total: - Miscellaneous social scientists and related workers, including sociologists"
HD02_VD111,"Margin of Error; Total: - Miscellaneous social scientists and related workers, including sociologists"
HD01_VD112,Estimate; Total: - Agricultural and food science technicians
HD02_VD112,Margin of Error; Total: - Agricultural and food science technicians
HD01_VD113,Estimate; Total: - Biological technicians
HD02_VD113,Margin of Error; Total: - Biological technicians
HD01_VD114,Estimate; Total: - Chemical technicians
HD02_VD114,Margin of Error; Total: - Chemical technicians
HD01_VD115,Estimate; Total: - Geological and petroleum technicians
HD02_VD115,Margin of Error; Total: - Geological and petroleum technicians
HD01_VD116,Estimate; Total: - Nuclear technicians
HD02_VD116,Margin of Error; Total: - Nuclear technicians
HD01_VD117,Estimate; Total: - Social science research assistants
HD02_VD117,Margin of Error; Total: - Social science research assistants
HD01_VD118,"Estimate; Total: - Miscellaneous life, physical, and social science technicians"
HD02_VD118,"Margin of Error; Total: - Miscellaneous life, physical, and social science technicians"
HD01_VD119,Estimate; Total: - Counselors
HD02_VD119,Margin of Error; Total: - Counselors
HD01_VD120,Estimate; Total: - Social workers
HD02_VD120,Margin of Error; Total: - Social workers
HD01_VD121,Estimate; Total: - Probation officers and correctional treatment specialists
